# Example Raw Chain Prompt
# Date: 2024-03-15
# Baseline Detection: high

Analyze this options market data to identify any structural constraints or forced actions.

**IMPORTANT**: You are provided ONLY with raw option chain data. You must reason about market structure from the distribution of open interest, implied volatility, and bid/ask spreads. NO pre-calculated metrics are provided.

---

**Date**: Day T+0
**Asset**: INDEX_1
**Spot Price**: $509.93

---

**Options Chain (Aggregated by Strike)**:

| Strike | Type | Open Interest | Avg IV | Volume | Bid/Ask Spread |
| $496 | Call |        11,356 |  15.8% |  3,804 | $  0.24 |
| $496 | Put  |        50,700 |  15.0% | 14,310 | $  0.04 |
| $497 | Call |        10,760 |  15.5% |    350 | $  0.24 |
| $497 | Put  |        79,634 |  14.7% | 24,790 | $  0.04 |
| $498 | Call |           302 |  15.6% |      4 | $  0.11 |
| $498 | Put  |         3,462 |  14.2% |  4,808 | $  0.02 |
| $498 | Call |        14,534 |  15.0% |  1,650 | $  0.23 |
| $498 | Put  |        63,964 |  14.5% | 54,396 | $  0.04 |
| $499 | Call |        12,694 |  14.7% |    378 | $  0.23 |
| $499 | Put  |        49,542 |  14.4% | 24,510 | $  0.04 |
| $500 | Call |       152,183 |  14.6% | 18,902 | $  0.58 |
| $500 | Put  |       375,489 |  15.6% | 159,146 | $  0.21 |
| $501 | Call |         6,720 |  14.4% |    770 | $  0.22 |
| $501 | Put  |       100,853 |  14.0% | 77,051 | $  0.04 |
| $502 | Call |        16,688 |  14.0% |    630 | $  0.18 |
| $502 | Put  |        95,344 |  13.8% | 137,667 | $  0.04 |
| $502 | Call |           585 |  13.7% |     19 | $  0.08 |
| $502 | Put  |         3,448 |  13.7% |  3,607 | $  0.03 |
| $503 | Call |        13,498 |  13.8% |  2,411 | $  0.16 |
| $503 | Put  |        77,616 |  13.8% | 84,810 | $  0.04 |
| $504 | Call |        11,715 |  13.7% |  1,848 | $  0.13 |
| $504 | Put  |        52,959 |  13.7% | 165,519 | $  0.04 |
| $505 | Call |        98,059 |  13.5% | 22,147 | $  0.57 |
| $505 | Put  |       172,013 |  15.0% | 248,581 | $  0.26 |
| $506 | Call |        15,557 |  13.3% | 11,704 | $  0.12 |
| $506 | Put  |        86,804 |  13.4% | 200,417 | $  0.04 |
| $507 | Call |        20,584 |  13.1% | 16,187 | $  0.10 |
| $507 | Put  |        46,349 |  13.0% | 286,424 | $  0.04 |
| $508 | Call |         1,671 |  13.7% |    327 | $  0.05 |
| $508 | Put  |         2,493 |  13.0% |    480 | $  0.04 |
| $508 | Call |        27,423 |  12.7% | 88,214 | $  0.09 |
| $508 | Put  |        77,731 |  12.9% | 429,019 | $  0.04 |
| $509 (ATM) | Call |        21,929 |  12.7% | 311,170 | $  0.08 |
| $509 (ATM) | Put  |        50,524 |  12.4% | 575,942 | $  0.04 |
| $510 (ATM) | Call |       133,339 |  13.1% | 705,414 | $  0.46 |
| $510 (ATM) | Put  |       195,454 |  14.2% | 663,416 | $  0.27 |
| $511 | Call |        28,708 |  12.4% | 635,347 | $  0.07 |
| $511 | Put  |        72,238 |  12.4% | 205,616 | $  0.05 |
| $512 | Call |        43,337 |  12.2% | 522,171 | $  0.07 |
| $512 | Put  |        65,537 |  12.2% | 83,332 | $  0.07 |
| $512 | Call |           480 |  12.7% |    536 | $  0.04 |
| $512 | Put  |           745 |  11.7% |     74 | $  0.04 |
| $513 | Call |        58,380 |  12.1% | 355,026 | $  0.07 |
| $513 | Put  |        55,825 |  12.4% | 54,900 | $  0.07 |
| $514 | Call |        70,045 |  12.1% | 236,843 | $  0.06 |
| $514 | Put  |        61,458 |  12.1% | 26,514 | $  0.08 |
| $515 | Call |       232,374 |  12.8% | 214,345 | $  0.46 |
| $515 | Put  |       125,682 |  14.0% | 30,997 | $  0.30 |
| $516 | Call |        87,609 |  12.1% | 122,888 | $  0.06 |
| $516 | Put  |        58,263 |  12.1% | 12,293 | $  0.11 |
| $517 | Call |       102,226 |  12.2% | 115,040 | $  0.06 |
| $517 | Put  |        47,149 |  12.7% |  6,509 | $  0.13 |
| $518 | Call |           803 |  11.7% |    504 | $  0.03 |
| $518 | Put  |         1,191 |  11.7% |    692 | $  0.14 |
| $518 | Call |        98,350 |  12.2% | 92,276 | $  0.06 |
| $518 | Put  |        32,382 |  12.3% |  7,549 | $  0.14 |
| $519 | Call |        60,581 |  12.2% | 37,996 | $  0.06 |
| $519 | Put  |        20,990 |  12.3% |  7,518 | $  0.16 |
| $520 | Call |       343,484 |  12.7% | 119,068 | $  0.42 |
| $520 | Put  |       110,430 |  14.7% |  7,351 | $  0.35 |
| $521 | Call |        61,026 |  12.1% | 27,841 | $  0.06 |
| $521 | Put  |         7,639 |  12.7% |  3,822 | $  0.20 |
| $522 | Call |       153,778 |  12.1% | 17,310 | $  0.06 |
| $522 | Put  |         9,867 |  12.7% |  1,276 | $  0.21 |
| $522 | Call |           189 |  11.7% |    130 | $  0.03 |
| $522 | Put  |             1 |  11.7% |      2 | $  0.22 |
| $523 | Call |        43,158 |  12.2% |  9,319 | $  0.03 |
| $523 | Put  |         5,818 |  12.7% |  1,447 | $  0.26 |
| $524 | Call |        39,363 |  12.2% | 10,274 | $  0.02 |
| $524 | Put  |         5,341 |  13.2% |    628 | $  0.29 |
| $525 | Call |       277,749 |  12.7% | 65,982 | $  0.45 |
| $525 | Put  |        37,631 |  14.9% |  5,100 | $  0.49 |
| $526 | Call |        50,924 |  12.4% |  8,353 | $  0.03 |
| $526 | Put  |         1,918 |  14.2% |    405 | $  0.35 |
| $527 | Call |        41,081 |  12.5% |  3,826 | $  0.03 |
| $527 | Put  |           596 |  14.6% |     51 | $  0.37 |
| $528 | Call |       115,344 |  12.6% |  5,299 | $  0.03 |
| $528 | Put  |           173 |  14.9% |    265 | $  0.37 |
| $529 | Call |        21,050 |  13.0% |  3,589 | $  0.02 |
| $529 | Put  |           221 |  15.3% |     77 | $  0.38 |
| $530 | Call |       222,802 |  12.9% | 24,143 | $  0.40 |
| $530 | Put  |        20,899 |  16.3% | 19,624 | $  0.55 |
| $531 | Call |        13,689 |  13.2% |  5,763 | $  0.02 |
| $531 | Put  |           189 |  15.9% |    310 | $  0.37 |
| $532 | Call |        13,209 |  13.6% |  2,377 | $  0.02 |
| $532 | Put  |           170 |  16.3% |    479 | $  0.38 |
| $533 | Call |        11,218 |  13.7% |  2,324 | $  0.02 |
| $533 | Put  |           683 |  16.8% |  1,270 | $  0.38 |
| $534 | Call |        13,841 |  13.7% |  3,319 | $  0.02 |
| $534 | Put  |           826 |  17.3% |  2,417 | $  0.38 |
| $535 | Call |        93,708 |  13.3% |  6,302 | $  0.37 |
| $535 | Put  |         5,829 |  17.6% |  2,666 | $  0.62 |
| $536 | Call |         5,645 |  14.3% |  5,621 | $  0.02 |
| $536 | Put  |           884 |  18.3% |  5,604 | $  0.38 |

---

**Analysis Task**:

Based ONLY on the raw options data above, identify:

1. **WHO**: What market participants are likely positioned and how? (e.g., dealers, institutional investors, retail)

2. **WHOM**: Who are the counterparties to these positions?

3. **WHAT**: What actions, if any, are these participants FORCED to take? What structural constraints exist?

4. **WHY**: Explain the mechanism - why are these actions forced?

5. **OUTCOME**: What market behavior would you expect as a result?

**Confidence**: Rate your confidence (0-100) that you have identified a genuine structural constraint.

Provide your analysis in the structured format above. If you do not detect any clear structural constraint, indicate "No pattern detected" with confidence = 0.
